Country,Confirmed,Deaths,Recovered,UN Region,GDP($),Percentage DC,Percentage RC
Afghanistan,89861,3527,61438,Asia,373,3.9249507572806888,68.37003817006266
Algeria,133388,3571,92966,Africa,3700,2.6771523675293127,69.69592467088493
Argentina,4124190,85343,3721350,Americas,10761,2.069327552804308,90.23226378998058
Australia,30365,911,26737,Oceania,66916,3.000164663263626,88.05203359130577
Austria,648620,10663,634624,Europe,53840,1.643951774536709,97.84218802997133
Bangladesh,826922,13118,766266,Asia,2450,1.5863648566612087,92.66484626119514
Barbados,4036,47,3979,Americas,17225,1.1645193260654112,98.58771060455896
Belarus,405663,2978,398743,Europe,7121,0.7341068818206244,98.29415056339869
Belgium,1076338,25205,31212,Europe,51166,2.341736517710979,2.8998325804719336
Bhutan,1813,1,1467,Asia,3063,0.05515719801434087,80.91560948703805
Bolivia,406954,15542,321665,Americas,3345,3.819104861974572,79.04210303867268
Bosnia and Herzegovina,204597,9490,177122,Europe,7143,4.638386682111664,86.57116184499284
Botswana,59480,896,55617,Africa,6805,1.5063887020847344,93.5053799596503
Brazil,17412766,487401,15400169,Americas,8170,2.799101532749019,88.44183055121742
Bulgaria,420336,17900,389495,Europe,12207,4.258497963533935,92.66277454227094
Cambodia,38427,335,31859,Asia,1608,0.8717828610091862,82.90785125042288
Canada,695869,10711,0,Americas,52112,1.539226492342668,0.0
Central African Republic,7101,98,6859,Africa,461,1.380087311646247,96.59202929164906
Chile,1476473,30707,1399187,Americas,16265,2.079753574904519,94.76549859022143
China,88307,4745,84711,Asia,12437,5.373299964895195,95.92784263988132
Colombia,3753224,95778,3543807,Americas,6104,2.551886058492645,94.42034368319077
Costa Rica,339900,4322,261195,Americas,12472,1.2715504560164754,76.84466019417475
Croatia,358563,8132,349244,Europe,16983,2.2679417563998516,97.40101460552259
Cyprus,73207,382,39061,Asia,32281,0.5218080238228584,53.35691942027402
Denmark,291920,2531,278470,Europe,68037,0.867018361194848,95.39257330775554
Dominica,189,0,188,Americas,7571,0.0,99.47089947089947
